PXD002801: mouse livers; CC experiment																																																											
"Program ""PAW_protein_grouper.py"" run on Tue Oct 28 09:49:56 2025"																																																											
																																																											
 	6326																								CC017_M	CC017_F	CC004_M	unused	CC004_F	CC001_M	CC001_F	unused	CC003_M	CC003_F	Pool		CC017_M	CC017_F	CC004_M	unused	CC004_F	CC001_M	CC001_F	unused	CC003_M	CC003_F	Pool		CC017_M	CC017_F	CC004_M	unused	CC004_F	CC001_M	CC001_F	unused	CC003_M	CC003_F	Pool
5749	1	sp|Q9JLJ4|ELOV2_MOUSE	 	 	 	 	947590	12.7	292	34207	Very long chain fatty acid elongase 2 OS=Mus musculus OX=10090 GN=Elovl2 PE=1 SV=1	23	23	1	8	7	8	8	7	8	8	7	8	8	772229	400396	645145	32278	502607	849785	489070	37293	770841	874421	537407	7	1490678	648075	1795670	40603	1313907	1309872	1652364	55988	2021873	1159300	1148833	8	1398866	1105990	1164918	52852	955821	1278013	1488381	65722	2722791	1331942	1156530
923	1	sp|P17225|PTBP1_MOUSE	 	 	"sp|B2RU80|PTPRB_MOUSE, sp|P17225|PTBP1_MOUSE, sp|Q8BHD7|PTBP3_MOUSE, sp|Q91Z31|PTBP2_MOUSE"	 	947412	24.3	555	59321	Polypyrimidine tract-binding protein 1 OS=Mus musculus OX=10090 GN=Ptbp1 PE=1 SV=3	59	28	0.475	23	18	18	12	8	8	18.052	12.211	12.824	12	2170593	2954585	2538954	125470	2873938	2758865	1640599	117370	3641805	3164564	2198674	8	271057	284046	411466	22541	326464	368912	281463	21766	408345	391794	278785	8	438769	448276	410417	41447	435720	437013	491318	29400	630634	284783	364778
2266	1	sp|Q5HZI1|MTUS1_MOUSE	 	 	 	 	946935	26	1210	134378	Microtubule-associated tumor suppressor 1 homolog OS=Mus musculus OX=10090 GN=Mtus1 PE=1 SV=2	59	59	1	19	21	19	19	21	19	19	21	19	19	1266599	1221729	1719637	81967	1658879	1821301	996776	81121	1125919	1537646	1151157	21	922296	815232	1517063	55570	1047406	1380296	1054919	55560	1120743	1150379	911946	19	894312	924754	1076286	63852	1067272	1014071	1173712	42722	1023387	496643	777701
4314	1	sp|Q91W34|RUSF1_MOUSE	 	 	 	 	946256	21.2	466	50469	RUS family member 1 OS=Mus musculus OX=10090 GN=Rusf1 PE=1 SV=1	26	26	1	9	9	8	9	9	8	9	9	8	9	491907	416791	519703	37992	572970	700033	349135	38576	550877	632754	431074	9	1518954	2056116	2681839	231650	2605307	3700864	1820693	270471	2261554	2246153	1939360	8	418974	710843	601804	45071	723062	751019	563771	37259	513913	317613	468333
1096	1	sp|P30681|HMGB2_MOUSE	 	 	"sp|P30681|HMGB2_MOUSE, sp|P63158|HMGB1_MOUSE"	 	946051	24.8	210	24162	High mobility group protein B2 OS=Mus musculus OX=10090 GN=Hmgb2 PE=1 SV=3	15	7	0.467	5	5	5	3	2	2	3.3	2.429	2.429	3	1541552	664568	1527919	83069	884134	1718641	747561	96874	788571	1999421	1005231	2	898960	593878	1679714	54112	664666	1438014	784516	67371	737393	1045515	796414	2	1423920	780644	1399771	71356	934236	1163086	1129012	67737	2192849	1202466	1036508
2678	1	sp|Q6A009|LTN1_MOUSE	 	 	 	 	945964	11.6	1767	198919	E3 ubiquitin-protein ligase listerin OS=Mus musculus OX=10090 GN=Ltn1 PE=1 SV=3	50	50	1	19	16	15	19	16	15	19	16	15	19	1196883	1267527	1176957	86151	1606966	1817588	940325	96128	1396858	1698181	1128356	16	858969	1000017	1121778	61041	1080794	1369144	1125647	65284	1478825	1304071	946557	15	764331	1088060	741749	77696	962343	1008017	1092529	57524	1148506	689042	762980
3985	1	sp|Q8R1I1|QCR9_MOUSE	 	 	 	 	945677	37.5	64	7445	Cytochrome b-c1 complex subunit 9 OS=Mus musculus OX=10090 GN=Uqcr10 PE=1 SV=1	26	26	1	8	9	9	8	9	9	8	9	9	8	1120091	782260	1034116	29864	1089828	1215950	641607	41856	691018	770151	741674	9	1425653	1299549	1798357	73925	1444497	1755819	1087750	83761	1431533	1794732	1219558	9	1170534	1306017	1150126	71977	1087094	1100833	1153122	34967	1081824	601492	875799
4999	1	sp|Q9CWX2|CIA30_MOUSE	 	 	 	 	945532	42.4	328	37809	"Complex I intermediate-associated protein 30, mitochondrial OS=Mus musculus OX=10090 GN=Ndufaf1 PE=1 SV=2"	36	36	1	11	12	13	11	12	13	11	12	13	11	903025	947815	861265	63190	1179343	876228	536952	51490	961485	1052457	743325	12	1143249	1256394	1473642	85742	1312793	1147451	897231	66616	1544344	1615939	1054340	13	1227318	1792938	1133617	84151	1555961	1115225	1081326	50800	1468266	879718	1038932
6497	1	sp|Q9DB27|MCTS1_MOUSE_family	 	sp|Q9DB27|MCTS1_MOUSE&sp|Q9CQ21|MCTS2_MOUSE	 	 	945116	47.5	181	20555	Malignant T-cell-amplified sequence 1 OS=Mus musculus OX=10090 GN=Mcts1 PE=1 SV=1	39	39	1	15	12	12	15	12	12	15	12	12	15	1100818	753273	1169039	50206	1065117	1220077	768086	60229	1174618	1167575	852904	12	971018	978154	1404406	59008	1134826	1433477	1158296	63120	1396659	1316384	991535	12	1265560	1327723	1220705	84290	1081037	1269623	1491971	57745	1432980	677470	990911
6034	1	sp|Q9WV85|NDK3_MOUSE	 	 	 	 	943559	36.7	169	19099	Nucleoside diphosphate kinase 3 OS=Mus musculus OX=10090 GN=Nme3 PE=1 SV=3	25	25	1	9	8	8	9	8	8	9	8	8	9	1033908	849931	1337465	86538	1290797	1516777	749011	83184	892605	913323	875354	8	1001456	942121	1445601	86798	1169463	1608853	1124335	104616	1143472	1227177	985389	8	1038562	1208511	1352084	96277	1368585	1316629	1449484	74583	1161886	632746	969935
5283	1	sp|Q9D7N6|RM30_MOUSE	 	 	 	 	943509	28.8	160	18342	Large ribosomal subunit protein uL30m OS=Mus musculus OX=10090 GN=Mrpl30 PE=1 SV=1	10	10	1	3	4	3	3	4	3	3	4	3	3	1062482	895285	938937	73343	1110906	1503597	786641	85113	1145041	1281410	888276	4	1525926	1387065	1718725	107482	1209440	2089234	1565719	105485	2004839	1849820	1356374	3	746413	705561	609680	58262	704027	776613	687517	39624	954279	576797	585877
1454	1	sp|P58021|TM9S2_MOUSE	 	 	 	 	941584	17.1	662	75329	Transmembrane 9 superfamily member 2 OS=Mus musculus OX=10090 GN=Tm9sf2 PE=1 SV=1	24	24	1	9	8	7	9	8	7	9	8	7	9	993529	980217	1164395	63836	1374254	1237284	723318	73735	1289428	1552340	945234	8	459991	594652	745393	33960	704940	699594	757429	40362	999986	936720	597303	7	1264655	1668002	1398402	105490	1752285	1296422	2098642	68986	2160535	1008743	1282216
3484	1	sp|Q8BYU6|TOIP2_MOUSE	 	 	"sp|Q8BYU6|TOIP2_MOUSE, sp|Q921T2|TOIP1_MOUSE"	 	939729	26.1	502	54495	Torsin-1A-interacting protein 2 OS=Mus musculus OX=10090 GN=Tor1aip2 PE=1 SV=1	39	38	0.974	12	15	12	12	15	11	12	15	11.458	12	739314	833803	846055	68267	1103211	1246996	609146	57165	883043	883825	727083	15	1158788	1367402	1513625	93840	1614444	2289200	1710638	106804	1934012	1864059	1365281	11	596153	1266966	675550	85836	1040976	1035053	990787	44486	988684	543732	726822
791	1	sp|P09925|SURF1_MOUSE	 	 	 	 	939326	15	306	34798	Surfeit locus protein 1 OS=Mus musculus OX=10090 GN=Surf1 PE=1 SV=3	14	14	1	4	5	5	4	5	5	4	5	5	4	1035902	782824	1186244	68641	1093599	1265270	725153	60212	919613	850759	798822	5	1032970	665172	1301617	65390	956250	1323184	1031098	79488	1283049	866068	860429	5	1381991	1459278	1461672	116568	1575740	1404972	1657812	78445	1626581	824215	1158727
2682	1	sp|Q6A068|CDC5L_MOUSE	 	 	 	 	939231	30.4	802	92188	Cell division cycle 5-like protein OS=Mus musculus OX=10090 GN=Cdc5l PE=1 SV=2	39	39	1	14	12	13	14	12	13	14	12	13	14	1482615	1251582	1647100	67338	1586799	1826850	922067	71810	1351535	1702496	1191019	12	1038170	836231	1532369	60329	1024602	1272738	990916	73108	1314227	1138292	928098	13	818675	928714	883240	58816	850127	895098	924247	33162	1020162	573530	698577
4404	1	sp|Q91XF0|PNPO_MOUSE	 	 	 	 	937181	24.5	261	30114	Pyridoxine-5'-phosphate oxidase OS=Mus musculus OX=10090 GN=Pnpo PE=1 SV=1	24	24	1	9	7	8	9	7	8	9	7	8	9	1191865	1186068	1704081	107324	1869594	1558707	983656	97011	1405886	1163123	1126732	7	387186	287590	631980	19425	464879	555399	487802	30416	608510	398610	387180	8	1500157	1838125	1794857	142585	1887047	1512549	1747406	64520	1729304	759780	1297633
2938	1	sp|Q7TNE1|SUCHY_MOUSE	 	 	 	 	936137	21.3	436	47690	Succinate--hydroxymethylglutarate CoA-transferase OS=Mus musculus OX=10090 GN=Sugct PE=1 SV=2	18	18	1	6	7	5	6	7	5	6	7	5	6	1341717	1000973	2286913	63196	1207132	2106680	878549	47643	100972	72353	910613	7	1592878	618105	2457930	59448	933315	2169651	1653260	98685	222503	871280	1067706	5	958805	1313347	1987795	75684	949082	1522102	1323537	46205	88778	35601	830094
4204	1	sp|Q8VE47|UBA5_MOUSE	 	 	 	 	933648	22.8	403	44789	Ubiquitin-like modifier-activating enzyme 5 OS=Mus musculus OX=10090 GN=Uba5 PE=1 SV=2	37	37	1	15	11	11	15	11	11	15	11	11	15	1552237	1490127	1454333	110703	1543530	1703569	1079069	87519	1826410	1372338	1221984	11	912527	951572	1073128	60317	898898	1075623	885302	63153	1273815	1391696	858603	11	893830	1138557	827736	62447	775855	832051	978348	39493	1181588	473656	720356
6085	1	sp|Q9Z0Y1|DCTN3_MOUSE	 	 	 	 	933515	46.2	186	20978	Dynactin subunit 3 OS=Mus musculus OX=10090 GN=Dctn3 PE=1 SV=2	23	23	1	7	6	10	7	6	10	7	6	10	7	1101575	867483	1332918	69684	1312142	1242199	655009	63071	988568	1062340	869499	6	594782	560279	912393	41388	662457	723119	537508	39131	771042	682898	552500	10	1679551	1748338	1757880	101769	1855552	1623334	1723934	79503	2123193	1092416	1378547
5071	1	sp|Q9CZ04|CSN7A_MOUSE	 	 	 	 	933362	22.9	275	30224	COP9 signalosome complex subunit 7a OS=Mus musculus OX=10090 GN=Cops7a PE=1 SV=2	27	27	1	9	10	8	9	10	8	9	10	8	9	1480844	1141907	1568166	81202	1615643	1987602	1015909	86629	1653777	1478579	1211026	10	753951	561284	930348	34765	768905	871450	696626	42931	1014513	824588	649936	8	1156482	1283434	1102927	74974	1174948	1162287	1209041	45170	1381469	800515	939125
849	1	sp|P12382|PFKAL_MOUSE	 	 	"sp|P12382|PFKAL_MOUSE, sp|P47857|PFKAM_MOUSE, sp|Q9WUA3|PFKAP_MOUSE"	 	932818	27.8	780	85359	"ATP-dependent 6-phosphofructokinase, liver type OS=Mus musculus OX=10090 GN=Pfkl PE=1 SV=4"	74	49	0.662	26	22	26	17	14	18	22.439	18.948	22.851	17	2091992	1523487	2155634	118978	1776240	2118747	1055711	108006	1934427	2423595	1530682	14	938277	707377	1193856	48139	784560	1011711	674969	51273	1275514	967180	765286	18	651787	631751	666878	42640	580145	620957	652499	28491	741764	407964	502488
6054	1	sp|Q9WVL3|S12A7_MOUSE	 	 	 	 	932247	16.1	1083	119480	Solute carrier family 12 member 7 OS=Mus musculus OX=10090 GN=Slc12a7 PE=1 SV=1	44	44	1	12	15	17	12	15	17	12	15	17	12	690093	754781	827084	61098	926487	1252608	655650	62793	1006158	1137330	737408	15	1380534	1386422	1565599	124788	1380828	2387382	1767085	130173	1969698	1589119	1368163	17	637198	960298	779590	68768	815526	1045724	988626	45694	968559	601729	691171
282	1	sp|E9Q0S6|TENS1_MOUSE	 	 	"REV_Q56A04, sp|E9Q0S6|TENS1_MOUSE, sp|Q5SSZ5|TENS3_MOUSE, sp|Q8CGB6|TENS2_MOUSE"	 	931455	22	1888	201380	Tensin-1 OS=Mus musculus OX=10090 GN=Tns1 PE=1 SV=1	71	60	0.845	27	24	20	24	20	16	26.349	22.697	18.703	24	1293623	1303671	1766256	99074	1884531	2278382	977312	108575	1387351	1351876	1245065	20	965223	728815	1433394	43733	1212997	1278111	1162706	56284	1273944	1170947	932615	16	622626	845609	785178	48176	839748	910918	923060	31155	767559	392824	616685
1654	1	sp|P67984|RL22_MOUSE	 	 	 	 	930740	50.8	128	14759	Large ribosomal subunit protein eL22 OS=Mus musculus OX=10090 GN=Rpl22 PE=1 SV=2	39	39	1	13	13	13	13	13	13	13	13	13	13	1291315	1207927	1497295	96397	1290821	1593513	873144	79933	1320621	1463265	1071423	13	1437555	930740	1919245	76520	1327778	1458154	1482530	86008	2120618	1114171	1195332	13	630315	772677	707900	55199	606308	643251	709650	36783	697611	394962	525466
2904	1	sp|Q78JW9|UBFD1_MOUSE	 	 	 	 	929887	21.2	368	40143	Ubiquitin domain-containing protein UBFD1 OS=Mus musculus OX=10090 GN=Ubfd1 PE=1 SV=2	28	28	1	10	9	9	10	9	9	10	9	9	10	1577403	1156865	1549076	92783	1575273	2099594	1309351	116271	1655473	1780765	1291285	9	668363	526624	955887	45216	696649	872931	862810	51576	978838	703984	636288	9	1027111	1083489	966175	73082	926007	1060231	1333474	54397	1348356	748544	862087
2304	1	sp|Q5SUF2|LC7L3_MOUSE	 	 	 	 	929120	20.6	432	51450	Luc7-like protein 3 OS=Mus musculus OX=10090 GN=Luc7l3 PE=1 SV=1	33	33	1	10	11	12	10	11	12	10	11	12	10	1070428	977974	1253266	55661	1103311	1342670	707357	63951	1048324	1131435	875438	11	945498	756674	1477625	49257	832981	1308875	1097125	58269	1302879	1016585	884577	12	1245548	1400920	1365253	76942	1200124	1384583	1279132	57625	1372494	890823	1027344
5543	1	sp|Q9EQ80|NIF3L_MOUSE	 	 	 	 	927877	11.2	376	41745	NIF3-like protein 1 OS=Mus musculus OX=10090 GN=Nif3l1 PE=1 SV=4	17	17	1	5	7	5	5	7	5	5	7	5	5	1304275	1073496	1535065	97772	1702449	2122359	1263109	127516	1531383	1409609	1216703	7	1075433	915271	1412309	81045	1184165	1739241	1454957	94214	1494422	1168551	1061961	5	588154	640671	563771	44449	581177	721023	842873	33439	683703	350398	504966
5183	1	sp|Q9D1M4|MCA3_MOUSE	 	 	 	 	927478	31.6	174	19859	Eukaryotic translation elongation factor 1 epsilon-1 OS=Mus musculus OX=10090 GN=Eef1e1 PE=1 SV=1	30	30	1	11	9	10	11	9	10	11	9	10	11	1376845	1114453	1421370	69792	1409232	1752560	962829	77711	1486058	1373555	1104440	9	998316	686802	1446975	56967	898223	1363730	989382	69554	1457932	1022838	899072	10	987617	1015073	977534	59403	873519	977958	1040196	40355	1194953	622609	778922
2517	1	sp|Q61879|MYH10_MOUSE	 	 	"sp|A2AQP0|MYH7B_MOUSE, sp|G3UW82|MYH2_MOUSE, sp|O08638|MYH11_MOUSE, sp|P13541|MYH3_MOUSE, sp|P13542|MYH8_MOUSE, sp|Q02566|MYH6_MOUSE, sp|Q5SX39|MYH4_MOUSE, sp|Q5SX40|MYH1_MOUSE, sp|Q61879|MYH10_MOUSE, sp|Q6URW6|MYH14_MOUSE, sp|Q8VDD5|MYH9_MOUSE, sp|Q91Z83|MYH7_MOUSE, tr|B1AR69|B1AR69_MOUSE, tr|E9Q264|E9Q264_MOUSE"	 	927035	28	1976	228993	Myosin-10 OS=Mus musculus OX=10090 GN=Myh10 PE=1 SV=2	164	66	0.402	51	54	59	22	23	21	25.531	28.069	26.695	22	1112920	1212412	1081404	83282	1400354	1938642	882017	82669	1159191	1306897	1025979	23	935184	1047772	1200738	73774	1233808	1305948	1079102	72215	1352297	1399939	970078	21	953065	1078308	825816	72707	948950	947178	1076288	42718	1238086	667364	785048
3120	1	sp|Q8BFP9|PDK1_MOUSE	 	 	"sp|Q8BFP9|PDK1_MOUSE, sp|Q9JK42|PDK2_MOUSE"	 	926898	41.7	434	48994	"[Pyruvate dehydrogenase (acetyl-transferring)] kinase isozyme 1, mitochondrial OS=Mus musculus OX=10090 GN=Pdk1 PE=1 SV=2"	40	35	0.875	12	14	14	11	12	12	11.579	13.091	13.2	11	817386	1092043	1268143	89822	2252713	1483841	572567	60296	1089856	999381	972605	12	785551	1230715	1397791	75155	1529652	1591415	906333	82656	1354193	1605963	1055942	12	529745	1150145	931244	78566	1596658	1103710	842614	47502	821477	419803	752146
4976	1	sp|Q9CWD8|NUBPL_MOUSE	 	 	 	 	925451	29.5	319	34139	Iron-sulfur cluster transfer protein NUBPL OS=Mus musculus OX=10090 GN=Nubpl PE=1 SV=2	19	19	1	4	7	8	4	7	8	4	7	8	4	2455597	1998719	2694666	94149	3000313	2731515	1288857	52858	784016	1076205	1617690	7	800911	823673	1265437	29817	972437	1143468	730340	34341	456797	1180752	743797	8	560613	644828	563597	41807	642035	620247	463986	40466	362848	208246	414867
1792	1	sp|P97450|ATP5J_MOUSE	 	 	 	 	923257	45.4	108	12496	"ATP synthase-coupling factor 6, mitochondrial OS=Mus musculus OX=10090 GN=Atp5pf PE=1 SV=1"	17	17	1	3	5	9	3	5	9	3	5	9	3	1502316	1501231	1868374	75460	1979499	2290007	841645	78910	1076342	1553592	1276738	5	280074	363636	871579	19000	616112	396099	224381	19895	455907	482284	372897	9	1478387	1183096	1210347	66670	1517983	1013668	1356675	58288	2575597	740661	1120137
5049	1	sp|Q9CY73|RM44_MOUSE	 	 	 	 	921692	24.6	333	37527	Large ribosomal subunit protein mL44 OS=Mus musculus OX=10090 GN=Mrpl44 PE=1 SV=3	31	31	1	10	10	11	10	10	11	10	10	11	10	1461102	984728	1362839	67649	1361724	1900018	1006417	80908	1349518	1754259	1132916	10	885945	753738	1033800	50268	684745	1067439	909565	56203	1124585	1030081	759637	11	1122723	1044107	926318	71534	894099	1243422	1152721	56956	1424395	788953	872523
321	1	sp|G3X9K3|BIG1_MOUSE	 	 	"sp|A2A5R2|BIG2_MOUSE, sp|G3X9K3|BIG1_MOUSE, sp|Q9QX11|CYH1_MOUSE"	 	920685	24.5	1846	208497	Brefeldin A-inhibited guanine nucleotide-exchange protein 1 OS=Mus musculus OX=10090 GN=Arfgef1 PE=1 SV=1	101	59	0.584	30	33	38	16	19	24	22.031	26.6	31.283	16	1257055	1181116	1603947	79042	1673092	1928138	995893	101883	1587834	1518910	1192691	19	607407	623259	961111	42701	753290	936261	652124	39706	972206	848910	643697	24	1019349	1281523	1149577	75366	1223009	1135689	1228205	50224	1389564	704147	925665
1478	1	sp|P59017|B2L13_MOUSE	 	 	 	 	918541	24.7	434	46719	Bcl-2-like protein 13 OS=Mus musculus OX=10090 GN=Bcl2l13 PE=1 SV=2	33	33	1	13	11	9	13	11	9	13	11	9	13	1703145	1485449	2085514	78379	2040442	2361380	1256224	111221	1926299	2099325	1514738	11	879435	546074	1233397	42020	794676	999351	826320	52997	952749	813498	714052	9	698764	610902	796069	42944	630373	578518	651298	28430	795954	435095	526835
626	1	sp|O88736|DHB7_MOUSE	 	 	 	 	917733	18	334	37316	3-keto-steroid reductase/17-beta-hydroxysteroid dehydrogenase 7 OS=Mus musculus OX=10090 GN=Hsd17b7 PE=1 SV=1	18	18	1	7	6	5	7	6	5	7	6	5	7	866267	1215071	1111496	92696	1609984	1203024	714627	78026	1801577	1782379	1047515	6	917226	1262425	1618643	108782	1454967	1518425	1140476	106025	2386136	1898758	1241186	5	368957	718581	439812	46219	573691	511984	439950	32713	962642	550429	464498
1699	1	sp|P70335|ROCK1_MOUSE	 	 	"sp|P70335|ROCK1_MOUSE, sp|P70336|ROCK2_MOUSE"	 	917072	32.7	1354	158169	Rho-associated protein kinase 1 OS=Mus musculus OX=10090 GN=Rock1 PE=1 SV=1	95	84	0.884	35	31	29	31	28	25	33.818	29.953	27.703	31	1275209	1132379	1472596	71354	1521795	1608433	885213	73951	1474088	1388611	1090363	28	1033370	684604	1410035	49570	1019792	1257189	1094736	66003	1383367	978219	897689	25	869872	948798	1014560	60092	973626	987275	1066328	50227	1091928	568944	763165
5006	1	sp|Q9CWZ7|SNAG_MOUSE	 	 	 	 	916729	47.1	312	34732	Gamma-soluble NSF attachment protein OS=Mus musculus OX=10090 GN=Napg PE=1 SV=1	32	32	1	10	10	12	10	10	12	10	10	12	10	1326083	1146252	1547695	59507	1440887	1825021	896482	69531	1676295	1491703	1147946	10	1128926	871266	1647121	46414	984636	1580173	1198246	50951	1801118	1123205	1043205	12	636103	817448	706555	52332	659447	727093	714375	29062	802236	445715	559037
1121	1	sp|P34022|RANG_MOUSE	 	 	 	 	916662	30	203	23596	Ran-specific GTPase-activating protein OS=Mus musculus OX=10090 GN=Ranbp1 PE=1 SV=2	27	27	1	11	6	10	11	6	10	11	6	10	11	1646520	1070702	1596378	103660	1450524	1955244	967063	122969	1364601	1854286	1213195	6	722872	682558	1300220	50703	800425	943323	758870	57546	1087209	862034	726576	10	1056355	940151	990645	66146	919528	897070	1110360	52345	1348394	721155	810215
4503	1	sp|Q921L3|TMCO1_MOUSE	 	 	 	 	916117	24.5	188	21175	Calcium load-activated calcium channel OS=Mus musculus OX=10090 GN=Tmco1 PE=1 SV=1	16	16	1	5	7	4	5	7	4	5	7	4	5	971754	749745	1099671	45241	1061000	1050198	641900	58832	1072385	1027413	777814	7	1497794	1297796	1940041	63528	1460390	1720937	1436360	104130	2236864	1769725	1352756	4	713039	957907	674045	34705	766121	722354	710955	20590	1034623	543458	617780
1303	1	sp|P49962|SRP09_MOUSE	 	 	 	 	915469	58.1	86	10194	Signal recognition particle 9 kDa protein OS=Mus musculus OX=10090 GN=Srp9 PE=1 SV=2	14	14	1	5	5	4	5	5	4	5	5	4	5	1358758	934561	1315850	82111	1393052	1544310	905212	96611	1493405	1926962	1105083	5	1280724	1066005	1765498	78283	1485450	1480877	1455308	82665	2105588	1416814	1221721	4	490022	537255	508228	40130	492810	512252	596432	28315	697387	293195	419603
5613	1	sp|Q9ESW4|AGK_MOUSE	 	 	 	 	914973	29	421	46975	"Acylglycerol kinase, mitochondrial OS=Mus musculus OX=10090 GN=Agk PE=1 SV=1"	34	34	1	10	12	12	10	12	12	10	12	12	10	757193	713753	733617	44818	931636	923624	523086	41889	781797	922190	637360	12	779314	893203	1096411	59552	945473	1409116	882733	60102	1071392	1204112	840141	12	1345781	1750288	1446126	118506	1686573	1836551	1431891	86643	1749083	1222739	1267418
5073	1	sp|Q9CZ28|SNF8_MOUSE	 	 	 	 	913091	30.6	258	28886	Vacuolar-sorting protein SNF8 OS=Mus musculus OX=10090 GN=Snf8 PE=1 SV=1	22	22	1	7	8	7	7	8	7	7	8	7	7	1271777	866213	1410041	59175	1339601	1505467	726562	64214	1164659	1278778	968649	8	690468	556050	1118748	43230	726736	933324	614685	43719	1041947	711165	648007	7	1417637	1456121	1491789	88617	1340611	1416000	1310329	67744	1746597	890732	1122618
3269	1	sp|Q8BK63|KC1A_MOUSE	 	 	"sp|Q8BK63|KC1A_MOUSE, sp|Q9DC28|KC1D_MOUSE"	 	911276	22.8	337	38914	Casein kinase I isoform alpha OS=Mus musculus OX=10090 GN=Csnk1a1 PE=1 SV=2	24	21	0.875	9	8	7	8	7	6	8.667	7.538	6.6	8	1169046	1050640	1296894	68006	1478472	1556240	771395	62420	1248463	1240190	994177	7	1114359	1088998	1574923	73811	1268073	1442939	1060583	77776	1514690	1451540	1066769	6	767533	931349	823268	54900	886899	882109	871201	39001	936790	535758	672881
5271	1	sp|Q9D7A8|ARMC1_MOUSE	 	 	 	 	911244	28	282	31246	Armadillo repeat-containing protein 1 OS=Mus musculus OX=10090 GN=Armc1 PE=1 SV=1	28	28	1	8	11	9	8	11	9	8	11	9	8	723536	426292	702424	28875	690178	819231	458058	36048	531212	645538	506139	11	1600993	1229477	2156444	108973	1660919	1994485	1643568	122623	2253366	1606520	1437737	9	936429	995675	991244	60645	987338	1014494	1102628	42848	1168556	598701	789856
327	1	sp|G5E8V9|ARFP1_MOUSE	 	 	 	 	910866	40.2	373	41518	Arfaptin-1 OS=Mus musculus OX=10090 GN=Arfip1 PE=1 SV=1	34	34	1	8	14	12	8	14	12	8	14	12	8	770508	633905	903273	44944	801167	1086636	564816	62719	941737	858992	666870	14	1190289	978559	1811118	58454	1126482	1605593	1467833	67499	2116501	1331863	1175419	12	1082249	1116576	1092627	63181	954823	1035958	1340422	43482	1437882	735893	890309
4187	1	sp|Q8VDQ8|SIR2_MOUSE	 	 	 	 	906839	28.3	389	43256	NAD-dependent protein deacetylase sirtuin-2 OS=Mus musculus OX=10090 GN=Sirt2 PE=1 SV=2	30	30	1	11	10	9	11	10	9	11	10	9	11	691163	548527	718284	40162	742143	864402	447817	42191	743832	724981	556350	10	1591970	1683542	2163209	99688	1791985	2235537	1576844	96364	2288699	2226070	1575391	9	687332	773493	695811	29666	687115	848169	800993	23720	903014	438433	588775
5607	1	sp|Q9ESP1|SDF2L_MOUSE	 	 	 	 	906644	24	221	23648	Stromal cell-derived factor 2-like protein 1 OS=Mus musculus OX=10090 GN=Sdf2l1 PE=1 SV=2	10	10	1	5	2	3	5	2	3	5	2	3	5	665170	456949	491266	28285	559207	671302	525742	30797	728601	622355	477967	2	728640	484822	909360	23483	556320	714552	858246	22430	1023444	588941	591024	3	2637367	2015041	1475618	41500	1550656	1707164	3039651	47600	2720724	1274085	1650941
6061	1	sp|Q9Z0E6|GBP2_MOUSE	 	 	"sp|Q01514|GBP1_MOUSE, sp|Q9Z0E6|GBP2_MOUSE"	 	905730	21.4	589	66739	Guanylate-binding protein 2 OS=Mus musculus OX=10090 GN=Gbp2 PE=1 SV=1	28	24	0.857	9	10	9	8	8	8	8.667	9.333	8.727	8	905399	792327	2046172	54155	1357015	1724949	752963	59472	851734	1312745	985693	8	853909	1413813	1810162	122912	1310013	2019825	942671	134337	1114563	2708126	1243033	8	388703	717236	704001	57517	731509	669361	545848	40351	704425	325677	488463
977	1	sp|P21550|ENOB_MOUSE	 	 	"sp|P17182|ENOA_MOUSE, sp|P21550|ENOB_MOUSE"	 	905205	41.5	434	47024	Beta-enolase OS=Mus musculus OX=10090 GN=Eno3 PE=1 SV=3	223	23	0.103	70	79	74	6	12	5	7.561	15.466	6.468	6	1574886	1227114	1404671	55355	1315891	1638060	988208	61651	1606040	1307194	1117907	12	678997	466810	742895	65399	7577351	856737	828019	34586	987716	661824	1290033	5	293276	578020	362690	26333	556778	294514	335454	12298	385340	232046	307675
3923	1	sp|Q8N9S3|AHSA2_MOUSE	 	 	 	 	904770	33.8	331	37648	Activator of 90 kDa heat shock protein ATPase homolog 2 OS=Mus musculus OX=10090 GN=Ahsa2 PE=1 SV=2	24	24	1	10	5	9	10	5	9	10	5	9	10	1143249	1011754	1053744	75420	1506922	1517780	1030714	78791	1444214	1352078	1021466	5	954538	974498	1421757	80473	1149199	1444844	1105848	78724	1438644	1198295	984682	9	903871	975212	709995	55487	919950	790950	992083	37687	1119454	576919	708161
3412	1	sp|Q8BVG4|DPP9_MOUSE	 	 	"sp|Q80YA7|DPP8_MOUSE, sp|Q8BVG4|DPP9_MOUSE"	 	904403	16.8	862	98000	Dipeptidyl peptidase 9 OS=Mus musculus OX=10090 GN=Dpp9 PE=1 SV=2	29	28	0.966	11	9	9	10	9	9	10.833	9	9	10	1145583	1170533	1317121	75399	1475147	1886059	810552	75184	1228042	1435542	1061916	9	863534	924356	1227099	46395	991530	1357032	1136470	59291	1171758	1206987	898445	9	849119	1015557	812919	48995	935909	1061809	1210010	36019	1011533	546593	752846
